District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
404.614,95,Nandom,2560,33046,23745,1011,22295,113.787462,46040,Upper West,67,2.254498005,5260,404,7.95E-05,0.464577789,0.285252359,0.929286575,72,90,46,29
838.3853,202,Talensi,7494,45561,40363,905,40831,96.845687,81194,Upper East,65,2.255518913,3454,839,3.14E-05,0.621336347,0.370540273,0.960604347,56,93,62,37
244.9439,251,Nabdam,3557,21156,16955,911,16871,138.096928,33826,Upper East,50,2.255518913,2803,245,0,0.633293387,0.420933524,0.970811391,63,94,63,42
1241.3953,102,Builsa South,5465,30730,18414,910,18100,29.413677,36514,Upper East,84,3.215606421,3262,1242,0.000247175,0.364228448,0.223718444,0.913230882,84,88,36,22
816.4403,108,Builsa North,4083,30485,28685,901,27792,69.174684,56477,Upper East,52,3.379938602,3380,817,0.024930278,0.457071049,0.26103567,0.97496331,54,94,46,26
391.9084,115,Binduri,5919,26360,32211,912,29807,158.246162,62018,Upper East,44,2.255531788,1991,393,0,0.526396429,0.369976252,0.794385244,43,77,53,37
23.9149,187,Asokore Mampong Municipal,0,9663,159036,628,145779,12745.81955,304815,Ashanti,0,0.821193635,8131,24,0,0.939245001,0.847550995,0.996625944,3,96,94,85
214.2778,195,Kma,37,88935,903770,614,826479,8074.793562,1730249,Ashanti,0,0.821193635,6905,214,0,0.946793097,0.878450297,1.003965939,5,97,95,88
582.4509,193,Ejisu Juaben,837,29520,75114,611,68648,246.822522,143762,Ashanti,24,0.650420171,3731,583,0,0.871986162,0.765834085,0.927453327,21,89,87,77
1557.9535,211,Wassa Amenfi East,2105,21696,40582,110,42896,53.58183,83478,Western,137,0.563778654,3140,1557,0,0.720570087,0.590688209,0.782050554,26,75,72,59
1411.9663,150,Asunafo North,2590,14739,61831,702,62854,88.305932,124685,Brong Ahafo,120,1.126856446,5237,1410,0,0.809898091,0.472142166,0.754450548,12,73,81,47
87.8069,,Tema Metropolis,258,24665,152815,308,139958,3334.282386,292773,Greater Accra,0,0.57776314,3681,88,0.001602564,0.934917215,0.848624257,0.990814935,8,95,93,85
18.5456,,Ashaiman,0,8250,97245,307,93727,10297.42904,190972,Greater Accra,0,0.57776314,6472,19,0,0.986798611,0.898201518,1.037650932,4,100,99,90
239.859,238,Kpone Katamanso,408,3692,56488,314,53376,458.035763,109864,Greater Accra,8,0.729009296,6833,240,0.00051033,0.903783208,0.817158723,0.960411436,3,93,90,82
646.9018,112,Tamale North Sub Metro,1837,54091,112143,811,111109,345.109567,223252,Northern,24,2.284120321,3056,648,0,0.664786151,0.471665685,0.961339357,24,93,66,47
200.4191,163,Sagnerigu,930,42790,73213,823,74886,738.946538,148099,Northern,9,2.282173892,2543,201,0,0.747214564,0.562561546,0.976391921,29,94,75,56
77.942,224,Adenta,0,7706,38849,305,39366,1003.502605,78215,Greater Accra,1,0.57776314,10266,78,0,0.941881111,0.82161142,0.982358529,10,95,94,82
1386.6096,176,Nkoranza North,4777,20121,32632,717,33263,47.522388,65895,Brong Ahafo,78,1.130692772,3767,1387,0,0.798108719,0.582899759,0.84009765,31,81,80,58
1513.341,173,Kintampo South,3813,62893,38871,721,42129,53.523958,81000,Brong Ahafo,50,1.130774845,3879,1513,2.91E-06,0.779532968,0.647943885,0.708722821,78,68,78,65
837.4256,180,Tano North,2321,16411,40380,707,39593,95.498633,79973,Brong Ahafo,57,1.129680634,3562,837,0,0.85158272,0.719227091,0.901341311,21,87,85,72
423.7601,,Ketu North,792,23154,53362,404,46551,235.777271,99913,Volta,32,0.565655291,1688,425,0.004413201,0.752825157,0.591298803,0.927568622,23,89,75,59
278.3149,,Ketu South,1663,24118,85108,403,75648,577.60472,160756,Volta,13,0.565655291,5454,279,0.054309433,0.856459868,0.746166675,0.978476014,15,94,86,75
753.0838,,Keta Municipal,2053,21119,79062,402,68556,196.018026,147618,Volta,59,0.910330065,1387,755,4.010588862,0.753729922,0.64034678,0.91215424,14,88,75,64
689.9112,162,Kadjebi,1870,38909,29352,414,29951,85.957439,59303,Volta,66,1.132243273,4103,692,0,0.81305981,0.532108107,0.961205337,66,93,81,53
643.5756,,South Tongu,1228,21957,47931,401,40019,136.658382,87950,Volta,42,0.77261757,2762,645,0.021522738,0.792617252,0.50983495,0.873640397,25,84,79,51
1188.5692,124,Jirapa,2952,62364,46810,1006,41592,74.376822,88402,Upper West,59,2.316400635,3559,1187,5.78E-05,0.483917373,0.318256639,0.938678701,71,90,48,32
555.8104,194,Jasikan,1294,22959,30039,413,29142,106.476957,59181,Volta,53,0.669743245,2993,557,0,0.861039264,0.691885905,0.946568454,39,91,86,69
2759.4076,180,Krachi East,9755,58329,56074,415,60730,42.329375,116804,Volta,171,1.193972242,1955,2766,4.312973706,0.408836743,0.228519366,0.566968698,50,55,41,23
2733.0123,182,Nkwanta South,4225,36989,59396,417,58482,43.131163,117878,Volta,111,1.433518486,4180,2740,0.053771118,0.494918644,0.404864013,0.91815839,31,88,49,40
409.3583,232,Afigya Kwabre,773,5334,69790,619,66350,332.569292,136140,Ashanti,24,0.82410997,2884,409,0,0.847681714,0.741124042,0.869523267,4,84,85,74
251.5098,198,Atwima Kwanwoma,853,4373,46842,613,43792,360.359716,90634,Ashanti,16,0.821193635,4496,252,0,0.883813381,0.76539284,0.968399533,5,93,88,77
416.7864,236,Afigya Sekyere,910,23111,49318,621,44691,225.556784,94009,Ashanti,47,0.769209605,4158,417,0,0.82793422,0.695745905,0.778549729,25,75,83,70
239.122,181,Sekyere East,1419,10607,32661,623,29511,260.001171,62172,Ashanti,46,0.624365032,4540,239,0,0.792998537,0.618831136,0.83263399,17,80,79,62
1631.0521,236,Sekyere Central,4242,16119,36007,625,35225,43.672425,71232,Ashanti,133,0.893131355,2831,1632,1.44E-05,0.802034834,0.698365508,0.880200196,23,85,80,70
945.9115,218,Offinso North,3866,16415,28581,627,28300,60.133533,56881,Ashanti,78,1.133131855,3823,946,0,0.792688107,0.62786926,0.836360141,29,81,79,63
